LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,QALD
Hungarian_85,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Hungary,dbo:Film,dbo:Film,other
Hungarian_86,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Hungary,dbo:Film,dbo:Film,other
Icelandic_87,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iceland,dbo:Film,dbo:Film,other
Icelandic_88,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iceland,dbo:Film,dbo:Film,other
Indian_89,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:India,dbo:Film,dbo:Film,other
Indian_90,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:India,dbo:Film,dbo:Film,other
Indonesian_91,adjective,Indonesian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Indonesia,dbo:Film,dbo:Film,other
Indonesian_92,adjective,Indonesian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Indonesia,dbo:Film,dbo:Film,other
Iranian_93,adjective,Iranian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iran,dbo:Film,dbo:Film,other
Iranian_94,adjective,Iranian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iran,dbo:Film,dbo:Film,other
Iraqi_95,adjective,Iraqi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iraq,dbo:Film,dbo:Film,other
Iraqi_96,adjective,Iraqi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iraq,dbo:Film,dbo:Film,other
Irish_97,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ireland,dbo:Film,dbo:Film,other
Irish_98,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ireland,dbo:Film,dbo:Film,other
Israeli_99,adjective,Israeli,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Israel,dbo:Film,dbo:Film,other
Israeli_100,adjective,Israeli,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Israel,dbo:Film,dbo:Film,other
Italian_101,adjective,Italian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Italy,dbo:Film,dbo:Film,other
Italian_102,adjective,Italian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Italy,dbo:Film,dbo:Film,other
Jamaican_103,adjective,Jamaican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Jamaica,dbo:Film,dbo:Film,other
Jamaican_104,adjective,Jamaican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Jamaica,dbo:Film,dbo:Film,other
Japanese_105,adjective,Japanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Japan,dbo:Film,dbo:Film,other
Japanese_106,adjective,Japanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Japan,dbo:Film,dbo:Film,other
Jordanian_107,adjective,Jordanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Jordan,dbo:Film,dbo:Film,other
Jordanian_108,adjective,Jordanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Jordan,dbo:Film,dbo:Film,other
Kenyan_109,adjective,Kenyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Kenya,dbo:Film,dbo:Film,other
Kenyan_110,adjective,Kenyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Kenya,dbo:Film,dbo:Film,other
Kuwaiti_111,adjective,Kuwaiti,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Kuwait,dbo:Film,dbo:Film,other
Kuwaiti_112,adjective,Kuwaiti,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Kuwait,dbo:Film,dbo:Film,other
Lao_113,adjective,Lao,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Laos,dbo:Film,dbo:Film,other
Lao_114,adjective,Lao,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Laos,dbo:Film,dbo:Film,other
Latvian_115,adjective,Latvian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Latvia,dbo:Film,dbo:Film,other
Latvian_116,adjective,Latvian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Latvia,dbo:Film,dbo:Film,other
Lebanese_117,adjective,Lebanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Lebanon,dbo:Film,dbo:Film,other
Lebanese_118,adjective,Lebanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Lebanon,dbo:Film,dbo:Film,other
Libyan_119,adjective,Libyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Libya,dbo:Film,dbo:Film,other
Libyan_120,adjective,Libyan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Libya,dbo:Film,dbo:Film,other
Lithuanian_121,adjective,Lithuanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Lithuania,dbo:Film,dbo:Film,other
Lithuanian_122,adjective,Lithuanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Lithuania,dbo:Film,dbo:Film,other
Malagasy_123,adjective,Malagasy,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Madagascar,dbo:Film,dbo:Film,other
Malagasy_124,adjective,Malagasy,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Madagascar,dbo:Film,dbo:Film,other
Malaysian_125,adjective,Malaysian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Malaysia,dbo:Film,dbo:Film,other
Malaysian_126,adjective,Malaysian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Malaysia,dbo:Film,dbo:Film,other
Malian_127,adjective,Malian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Mali,dbo:Film,dbo:Film,other
Malian_128,adjective,Malian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Mali,dbo:Film,dbo:Film,other
Maltese_129,adjective,Maltese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Malta,dbo:Film,dbo:Film,other
Maltese_130,adjective,Maltese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Malta,dbo:Film,dbo:Film,other
Mexican_131,adjective,Mexican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Mexico,dbo:Film,dbo:Film,other
Mexican_132,adjective,Mexican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Mexico,dbo:Film,dbo:Film,other
Mongolian_133,adjective,Mongolian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Mongolia,dbo:Film,dbo:Film,other
Mongolian_134,adjective,Mongolian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Mongolia,dbo:Film,dbo:Film,other
Moroccan_135,adjective,Moroccan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Morocco,dbo:Film,dbo:Film,other
Moroccan_136,adjective,Moroccan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Morocco,dbo:Film,dbo:Film,other
Mozambican_137,adjective,Mozambican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Mozambique,dbo:Film,dbo:Film,other
Mozambican_138,adjective,Mozambican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Mozambique,dbo:Film,dbo:Film,other
Namibian_139,adjective,Namibian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Namibia,dbo:Film,dbo:Film,other
Namibian_140,adjective,Namibian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Namibia,dbo:Film,dbo:Film,other
Nepalese_141,adjective,Nepalese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Nepal,dbo:Film,dbo:Film,other
Nepalese_142,adjective,Nepalese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Nepal,dbo:Film,dbo:Film,other
Dutch_143,adjective,Dutch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Netherlands,dbo:Film,dbo:Film,other
Dutch_144,adjective,Dutch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Netherlands,dbo:Film,dbo:Film,other
New-Zealand_145,adjective,New Zealand,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:New_Zealand,dbo:Film,dbo:Film,other
New-Zealand_146,adjective,New Zealand,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:New_Zealand,dbo:Film,dbo:Film,other
Nicaraguan_147,adjective,Nicaraguan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Nicaragua,dbo:Film,dbo:Film,other
Nicaraguan_148,adjective,Nicaraguan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Nicaragua,dbo:Film,dbo:Film,other
Nigerian_149,adjective,Nigerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Nigeria,dbo:Film,dbo:Film,other
Nigerian_150,adjective,Nigerian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Nigeria,dbo:Film,dbo:Film,other
Norwegian_151,adjective,Norwegian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Norway,dbo:Film,dbo:Film,other
Norwegian_152,adjective,Norwegian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Norway,dbo:Film,dbo:Film,other
Pakistani_153,adjective,Pakistani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Pakistan,dbo:Film,dbo:Film,other
Pakistani_154,adjective,Pakistani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Pakistan,dbo:Film,dbo:Film,other
Panamanian_155,adjective,Panamanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Panama,dbo:Film,dbo:Film,other
Panamanian_156,adjective,Panamanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Panama,dbo:Film,dbo:Film,other
Paraguayan_157,adjective,Paraguayan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Paraguay,dbo:Film,dbo:Film,other
Paraguayan_158,adjective,Paraguayan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Paraguay,dbo:Film,dbo:Film,other
Peruvian_159,adjective,Peruvian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Peru,dbo:Film,dbo:Film,other
Peruvian_160,adjective,Peruvian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Peru,dbo:Film,dbo:Film,other
Philippine_161,adjective,Philippine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Philippines,dbo:Film,dbo:Film,other
Philippine_162,adjective,Philippine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Philippines,dbo:Film,dbo:Film,other
Polish_163,adjective,Polish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Poland,dbo:Film,dbo:Film,other
Polish_164,adjective,Polish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Poland,dbo:Film,dbo:Film,other
Portuguese_165,adjective,Portuguese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Portugal,dbo:Film,dbo:Film,other
Portuguese_166,adjective,Portuguese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Portugal,dbo:Film,dbo:Film,other
Romanian_167,adjective,Romanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Romania,dbo:Film,dbo:Film,other
Romanian_168,adjective,Romanian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Romania,dbo:Film,dbo:Film,other
Russian_169,adjective,Russian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Russia,dbo:Film,dbo:Film,other
Russian_170,adjective,Russian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Russia,dbo:Film,dbo:Film,other
Saudi_171,adjective,Saudi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Saudi_Arabia,dbo:Film,dbo:Film,other
Saudi_172,adjective,Saudi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Saudi_Arabia,dbo:Film,dbo:Film,other
Scottish_173,adjective,Scottish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Scotland,dbo:Film,dbo:Film,other
Scottish_174,adjective,Scottish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Scotland,dbo:Film,dbo:Film,other
Senegalese_175,adjective,Senegalese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Senegal,dbo:Film,dbo:Film,other
Senegalese_176,adjective,Senegalese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Senegal,dbo:Film,dbo:Film,other
Serbian_177,adjective,Serbian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Serbia,dbo:Film,dbo:Film,other
Serbian_178,adjective,Serbian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Serbia,dbo:Film,dbo:Film,other
Singaporean_179,adjective,Singaporean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Singapore,dbo:Film,dbo:Film,other
Singaporean_180,adjective,Singaporean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Singapore,dbo:Film,dbo:Film,other
Slovak_181,adjective,Slovak,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Slovakia,dbo:Film,dbo:Film,other
Slovak_182,adjective,Slovak,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Slovakia,dbo:Film,dbo:Film,other
South-African_183,adjective,South African,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:South_Africa,dbo:Film,dbo:Film,other
South-African_184,adjective,South African,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:South_Africa,dbo:Film,dbo:Film,other
Korean_185,adjective,Korean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:South_Korea,dbo:Film,dbo:Film,other
Korean_186,adjective,Korean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:South_Korea,dbo:Film,dbo:Film,other
Spanish_187,adjective,Spanish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Spain,dbo:Film,dbo:Film,other
Spanish_188,adjective,Spanish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Spain,dbo:Film,dbo:Film,other
Sri-Lankan_189,adjective,Sri Lankan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Sri_Lanka,dbo:Film,dbo:Film,other
Sri-Lankan_190,adjective,Sri Lankan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Sri_Lanka,dbo:Film,dbo:Film,other
Sudanese_191,adjective,Sudanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Sudan,dbo:Film,dbo:Film,other
Sudanese_192,adjective,Sudanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Sudan,dbo:Film,dbo:Film,other
Swedish_193,adjective,Swedish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Sweden,dbo:Film,dbo:Film,other
Swedish_194,adjective,Swedish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Sweden,dbo:Film,dbo:Film,other
Swiss_195,adjective,Swiss,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Switzerland,dbo:Film,dbo:Film,other
Swiss_196,adjective,Swiss,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Switzerland,dbo:Film,dbo:Film,other
Syrian_197,adjective,Syrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Syria,dbo:Film,dbo:Film,other
Syrian_198,adjective,Syrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Syria,dbo:Film,dbo:Film,other
Taiwanese_199,adjective,Taiwanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Taiwan,dbo:Film,dbo:Film,other
Taiwanese_200,adjective,Taiwanese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Taiwan,dbo:Film,dbo:Film,other
Tajikistani_201,adjective,Tajikistani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Tajikistan,dbo:Film,dbo:Film,other
Tajikistani_202,adjective,Tajikistani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Tajikistan,dbo:Film,dbo:Film,other
Thai_203,adjective,Thai,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Thailand,dbo:Film,dbo:Film,other
Thai_204,adjective,Thai,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Thailand,dbo:Film,dbo:Film,other
Tongan_205,adjective,Tongan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Tonga,dbo:Film,dbo:Film,other
Tongan_206,adjective,Tongan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Tonga,dbo:Film,dbo:Film,other
Tunisian_207,adjective,Tunisian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Tunisia,dbo:Film,dbo:Film,other
Tunisian_208,adjective,Tunisian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Tunisia,dbo:Film,dbo:Film,other
Turkish_209,adjective,Turkish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Turkey,dbo:Film,dbo:Film,other
Turkish_210,adjective,Turkish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Turkey,dbo:Film,dbo:Film,other
Ukrainian_211,adjective,Ukrainian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ukraine,dbo:Film,dbo:Film,other
Ukrainian_212,adjective,Ukrainian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ukraine,dbo:Film,dbo:Film,other
Emirati_213,adjective,Emirati,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Arab_Emirates,dbo:Film,dbo:Film,other
Emirati_214,adjective,Emirati,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_Arab_Emirates,dbo:Film,dbo:Film,other
Uruguayan_215,adjective,Uruguayan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Uruguay,dbo:Film,dbo:Film,other
Uruguayan_216,adjective,Uruguayan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Uruguay,dbo:Film,dbo:Film,other
Venezuelan_217,adjective,Venezuelan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Venezuela,dbo:Film,dbo:Film,other
Venezuelan_218,adjective,Venezuelan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Venezuela,dbo:Film,dbo:Film,other
Vietnamese_219,adjective,Vietnamese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Vietnam,dbo:Film,dbo:Film,other
Vietnamese_220,adjective,Vietnamese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Vietnam,dbo:Film,dbo:Film,other
Welsh_221,adjective,Welsh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Wales,dbo:Film,dbo:Film,other
Welsh_222,adjective,Welsh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Wales,dbo:Film,dbo:Film,other
Zambian_223,adjective,Zambian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Zambia,dbo:Film,dbo:Film,other
Zambian_224,adjective,Zambian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Zambia,dbo:Film,dbo:Film,other
Zimbabwean_225,adjective,Zimbabwean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Zimbabwe,dbo:Film,dbo:Film,other
Zimbabwean_226,adjective,Zimbabwean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Zimbabwe,dbo:Film,dbo:Film,other
Dutch_227,adjective,Dutch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Netherlands,dbo:Film,dbo:Film,other
Dutch_228,adjective,Dutch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Netherlands,dbo:Film,dbo:Film,other
French_229,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:France,dbo:Film,dbo:Film,other
French_230,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:France,dbo:Film,dbo:Film,other
Welsh_231,adjective,Welsh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Kingdom,dbo:Film,dbo:Film,other
Welsh_232,adjective,Welsh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_Kingdom,dbo:Film,dbo:Film,other
Spanish_233,adjective,Spanish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Argentinian,dbo:Film,dbo:Film,other
Spanish_234,adjective,Spanish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Argentinian,dbo:Film,dbo:Film,other
English_235,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:United_Kingdom,dbo:Film,dbo:Film,other
English_236,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:United_Kingdom,dbo:Film,dbo:Film,other
Irish_237,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ireland,dbo:Film,dbo:Film,other
Irish_238,adjective,Irish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ireland,dbo:Film,dbo:Film,other