LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date
end_in_1,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:Road,dbo:City
end_in_2,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:routeEnd,dbo:ArchitecturalStructure,dbo:Location
end_in_3,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,3,dbo:routeEnd,dbo:Infrastructure,dbo:Location
end_in_4,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,4,dbo:routeEnd,dbo:RouteOfTransportation,dbo:Location
end_in_5,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace
end_in_6,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country
come_from,verb,come,comes,came,come,from,IntransitivePPFrame,domain,range,1,dbo:nationality,dbo:Person,dbo:Country
flow_into,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,domain,range,1,dbo:inflow,dbo:River,dbo:River
grow_in,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
begin_at_1,verb,begin,begins,began,begun,at,IntransitivePPFrame,domain,range,1,dbp:source1Location,dbo:River,dbo:Country
begin_at_2,verb,begin,begins,began,began,at,IntransitivePPFrame,domain,range,1,dbp:source2Location,dbo:River,dbo:City
born_in_1,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthYear,dbo:Person,xsd:gYear
born_in_2,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place
born_in_3,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:City
born_in_4,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Country
born_in_6,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Actor,dbo:Country
born_in_7,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,res:Surfing,dbo:Country
born_on_1,verb,born,-,born,born,on,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:Person,xsd:date
dissolve_on_1,verb,dissolve,dissolves,dissolved,dissolved,on,IntransitivePPFrame,range,domain,1,dbo:dissolutionDate,dbo:Place,xsd:date
written_in,verb,write,writes,wrote,written,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Work,dbo:Language
complete_in_1,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Ship,xsd:date
complete_in_2,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,1,dbo:buildingEndDate,dbo:ArchitecturalStructure,xsd:gYear
complete_in_3,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,2,dbo:completionDate,dbo:Work,xsd:gYear
complete_in_4,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,3,dbo:buildingEndDate,dbo:Bridge,xsd:gYear
complete_in_5,verb,complete,completes,completed,completed,in,IntransitivePPFrame,range,domain,4,dbo:buildingEndDate,dbo:Building,xsd:gYear
participate_in_1,verb,participate,participates,participated,participated,in,IntransitivePPFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict
die_on_1,verb,die,dies,died,died,on,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_1,verb,die,dies,died,died,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
die_in_2,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:Place
die_in_3,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:Place
die_in_4,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Writer,dbo:City
die_in_5,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Politician,dbo:City
die_from_1,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,owl:Thing
die_from_2,verb,die,dies,died,died,from,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease
bury_in_1,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:City
bury_in_2,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location
locate_in_3,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:ArchitecturalStructure,dbo:Location
locate_in_4,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Lake,dbo:Country
locate_in_5,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country
found_in_1,verb,found,found,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:foundingYear,dbo:Organisation,xsd:gYear
found_in_2,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundationPlace,dbo:Company,dbo:Country
found_in_4,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,2,dbo:foundingDate,dbo:Settlement,xsd:gYear
found_in_5,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear
found_in_6,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbp:founded,dbo:Organisation,xsd:date
found_in_7,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string
commence_on_1,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date
commence_on_2,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date
call_1,verb,call,calls,called,called,X,IntransitivePPFrame,domain,range,1,dbp:nickname,dbo:Person,xsd:String
KnownFor_1,verb,known,known,known,known,for,IntransitivePPFrame,domain,range,1,dbo:knownFor,dbo:Scientist,dbo:MilitaryUnit
KnownFor_2,verb,known,known,known,known,for,IntransitivePPFrame,domain,range,1,dbo:knownFor,dbo:Award,dbo:Person
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location
locate_in_3,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:ArchitecturalStructure,dbo:Location
locate_in_4,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,2,dbo:location,dbo:City,dbo:Country 
locate_in_5,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,4,dbo:location,dbo:Airport,dbo:Place
locate_in_6,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,9,dbo:location,dbo:BodyOfWater,dbo:Place
locate_in_7,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,5,dbo:country,dbo:Mountain,dbo:Country
locate_in_8,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,6,dbo:locatedInArea,dbo:Place,dbo:Place
locate_in_9,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,7,dbo:country,dbo:Settlement,dbo:Country
locate_in_10,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,8,dbo:country,dbo:BodyOfWater,dbo:Country
locate_in_11,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:Organisation,dbo:Place
locate_in_12,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,3,dbo:city,dbo:Airport,dbo:City
live_in_1,verb,live,lives,lived,lived,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:City
live_in_2,verb,live,lives,lived,lived,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Single,dbo:City
live_in_3,verb,People live,People lives,People lived,People lived,in,IntransitivePPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:double
live_in_4,verb,People live,People lives,People lived,People lived,in,IntransitivePPFrame,range,domain,1,dbo:populationTotal,dbo:City,xsd:double
live_in_5,verb,live,lives,lived,lived,in,IntransitivePPFrame,range,domain,1,dbo:ethnicGroup,dbo:Country,xsd:nonNegativeInteger
grow_in_2,verb,grow,grows,grew,grown,in,IntransitivePPFrame,range,domain,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape
flow_through_1,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,domain,range,1,dbo:city,dbo:River,dbo:City
flow_through_2,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,domain,range,1,dbp:country,dbo:River,dbo:Country
start_in_1,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:Road,dbo:Road
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,dbo:Country
flow_into_1,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:River,dbo:River
flow_into_2,verb,flow,flows,flowed,flown,into,IntransitivePPFrame,range,domain,1,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater
fight_in,verb,fight,fights,fought,fought,in,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date
produced_in_1,verb,produce,produces,produced,produced,in,IntransitivePPFrame,domain,range,1,dbo:wineProduced,dbo:Company,dbo:Location
stand_for_2,verb,stand,stands,stood,stood,for,IntransitivePPFrame,domain,range,1,dbo:abbreviation,owl:Thing,xsd:string
belong_to_1,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,1,dbo:party,dbo:Person,dbo:PoliticalParty
Have_seat_1,verb,have,has,had,had,X,IntransitivePPFrame,range,domain,1,dbo:seatingCapacity,dbo:Stadium,xsd:nonNegativeInteger
starr_in_3,verb,star,stars,starred,starred,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor
draft_in,verb,draft,drafts,drafted,drafted,in,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear
build_in_1,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear
build_in_2,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbp:beginningDate,dbo:ArchitecturalStructure,xsd:gYear
inaugurate_in_1,verb,inaugurate,inaugurates,inaugurated,inaugurated,in,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear
inaugurate_in_2,verb,inaugurate,inaugurates,inaugurated,inaugurated,in,IntransitivePPFrame,range,domain,2,dbo:openingDate,dbo:Bridge,xsd:gYear
inaugurate_in_3,verb,inaugurate,inaugurates,inaugurated,inaugurated,in,IntransitivePPFrame,range,domain,3,dbo:openingDate,dbo:Building,xsd:gYear
founded_on_1,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date
founded_on_2,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,2,dbo:foundingDate,dbo:Settlement,xsd:date
founded_on_3,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:date
released_on_1,verb,release,releases,released,released,at,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date
released_on_2,verb,release,releases,released,released,at,IntransitivePPFrame,range,domain,2,dbo:releaseDate,dbo:Song,xsd:date
released_on_3,verb,release,releases,released,released,at,IntransitivePPFrame,range,domain,3,dbo:releaseDate,dbo:Software,xsd:date
released_on_4,verb,release,releases,released,released,on,IntransitivePPFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing
published_on_1,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Song,xsd:date
published_on_2,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Article,xsd:date
published_on_3,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbo:publicationDate,dbo:Book,xsd:date
published_in_1,verb,publish,publishes,published,published,in,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Song,xsd:gYear
published_in_2,verb,publish,publishes,published,published,in,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Article,xsd:gYear
published_in_3,verb,publish,publishes,published,published,in,IntransitivePPFrame,range,domain,1,dbo:publicationDate,dbo:Book,xsd:gYear
destroy_on_1,verb,destroy,destroys,destroyed,destroyed,on,IntransitivePPFrame,range,domain,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date
destroy_in_1,verb,destroy,destroys,destroyed,destroyed,in,IntransitivePPFrame,range,domain,2,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:gYear
rebuild_on_1,verb,rebuild,rebuilds,rebuilt,rebuilt,on,IntransitivePPFrame,range,domain,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date
rebuild_in_2,verb,rebuild,rebuilds,rebuilt,rebuilt,in,IntransitivePPFrame,range,domain,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear
reopen_on_1,verb,reopen,reopens,reopened,reopened,on,IntransitivePPFrame,range,domain,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date
reopen_in_2,verb,reopen,reopens,reopened,reopened,in,IntransitivePPFrame,range,domain,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear
discontinue_on_1,verb,discontinue,discontinues,discontinued,discontinued,on,IntransitivePPFrame,range,domain,1,dbo:discontinued,dbo:Beverage,xsd:date
discontinue_in_1,verb,discontinue,discontinues,discontinued,discontinued,in,IntransitivePPFrame,range,domain,1,dbo:discontinued,dbo:Beverage,xsd:gYear
introduced_on_1,verb,introduce,introduces,introduced,introduced,on,IntransitivePPFrame,range,domain,1,dbo:introduced,dbo:Beverage,xsd:date
introduced_in__2,verb,introduce,introduces,introduced,introduced,in,IntransitivePPFrame,range,domain,1,dbo:introduced,dbo:Beverage,xsd:gYear
open_on_1,verb,open,opens,opened,opened,on,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:Bridge,xsd:date
open_in_1,verb,open,opens,opened,opened,in,IntransitivePPFrame,range,domain,1,dbo:openingYear,dbo:Bridge,xsd:gYear
produced_on_1,verb,produce,produced,produced,produced,on,IntransitivePPFrame,range,domain,1,dbo:productionDate,dbo:Film,xsd:date
produced_on_2,verb,produce,produced,produced,produced,on,IntransitivePPFrame,range,domain,2,dbo:productionDate,dbo:Album,xsd:date
produced_on_3,verb,produce,produced,produced,produced,in,IntransitivePPFrame,range,domain,3,dbo:productionDate,dbo:Song,xsd:date
establish_in_1,verb,establish,establishes,established,established,in,IntransitivePPFrame,range,domain,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear
form_in_1,verb,form,forms,formed,formed,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Band,xsd:date
compose_for_1,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,1,dbo:musicComposer,dbo:Work,dbo:Person
compose_for_2,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,2,dbo:composer,dbo:Work,dbo:Person
compose_for_3,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,3,dbp:music,dbo:Work,dbo:Person
work_for_1,verb,work,works,worked,worked,for,IntransitivePPFrame,domain,range,1,dbo:keyPerson,dbo:Organisation,dbo:Person
work_for_2,verb,work,works,worked,worked,for,IntransitivePPFrame,domain,range,2,dbp:keyPeople,dbo:Organisation,dbo:Person
start_acting_on_1,verb,start acting,starts acting,started acting,started acting,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Actor,xsd:date
stop_acting_on_2,verb,stop acting,stops acting,stopped acting,stopped acting,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndYear,dbo:Actor,xsd:date
fight_in_1,verb,fight,fights,fought,fought,in,IntransitivePPFrame,range,domain,1,dbo:combatant,dbo:MilitaryConflict,xsd:string
play_in_1,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,1,dbo:member,dbo:Person,dbo:Band
play_in_2,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,2,dbo:member,dbo:Person,dbo:Play
play_in_3,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,3,dbo:position,dbo:Person,owl:Thing
split_up_in_1,verb,split ,splits ,splited,splited,up,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndYear,dbo:Band,xsd:date
study_at_1,verb,study,studies,studied,studied,at,IntransitivePPFrame,domain,range,1,dbo:education,dbo:Person,dbo:EducationalInstitution
relate_to_1,verb,relate,is related,related,related,to,IntransitivePPFrame,domain,range,1,dbo:related,dbo:Beverage,dbo:Beverage
record_in_1,verb,record,records,recored,recored,in,IntransitivePPFrame,domain,range,1,dbo:recordedIn,dbo:MusicalWork,dbo:PopulatedPlace
belong_to_1,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,3,dbp:album,dbo:Song,dbo:Album
belong_to_3,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,2,dbp:genre,dbo:Album,dbo:Genre
belong_to_4,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,4,dbo:genre,dbo:Film,dbo:Genre
belong_to_6,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,6,dbp:party,dbo:Agent,dbo:PoliticalParty
belong_to_7,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,7,dbo:literaryGenre,dbo:WrittenWork,dbo:Genre
belong_to_8,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,8,dbo:mountainRange,dbo:Mountain,dbo:MountainRange
belong_to_9,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,9,dbo:genre,dbo:Band,dbo:Genre
belong_to_10,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,10,dbo:bandMember,dbo:Person,dbo:Band
belong_to_11,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,11,dbo:genre,dbo:Software,dbo:Genre
belong_to_12,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,12,dbo:series,dbo:Software,owl:Thing
belong_to_13,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,13,dbo:genre,dbo:Artist,dbo:Genre
belong_to_14,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,14,dbo:team,dbo:Person,dbo:SportsTeam
belong_to_15,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,15,dbo:subdivision,dbo:Settlement,dbo:Place
belong_to_17,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,17,dbo:architecturalStyle,dbo:ArchitecturalStructure,owl:Thing
belong_to_18,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,18,dbo:formerTeam,dbo:Athlete,dbo:SportsTeam
play_for_1,verb,play,plays,played,played,for,IntransitivePPFrame,domain,range,1,dbo:debutTeam,dbo:Athlete,dbo:SportsTeam
study_at_1,verb,study,studies,studied,studied,at,IntransitivePPFrame,domain,range,1,dbo:education,dbo:Person,dbo:EducationalInstitution
name_after_1,verb,name,named,named,named,after,IntransitivePPFrame,domain,range,1,dbo:namedAfter,dbo:Settlement,dbo:Agent
associate_with_1,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,1,dbo:associatedBand,dbo:Band,dbo:Band
associate_with_2,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,2,dbo:associatedMusicalArtist,dbo:Band,dbo:MusicalArtist
associate_with_3,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,3,dbo:movement,dbo:Artist,owl:Thing
currently_use_for_1,verb,currently use,currently uses,currently used,currently used,for,IntransitivePPFrame,domain,range,1,dbo:currentlyUsedFor,dbo:ArchitecturalStructure,xsd:string
initially_use_for_1,verb,initially use,initially uses,initially used,initially used,for,IntransitivePPFrame,domain,range,2,dbo:initiallyUsedFor,dbo:ArchitecturalStructure,xsd:string
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:Stream,dbo:Country
end_in_1,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,1,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace
end_in_2,verb,end,ends,ended,ended,in,IntransitivePPFrame,domain,range,2,dbo:mouthCountry,dbo:River,dbo:Country
border_in_1,verb,border,borders,bordered,bordered,in,IntransitivePPFrame,domain,range,1,dbo:borderingstates,dbo:State,dbo:State
study_in,verb,study,studies,studied,studied,in,IntransitivePPFrame,domain,range,1,dbo:education,dbo:Writer,dbo:EducationalInstitution
launch_from,verb,launch,launches,launched,launched,from,IntransitivePPFrame,range,domain,1,dbp:launchPad,dbo:SpaceStation,dbo:Airport
play_in_4,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,3,dbo:starring,dbo:Film,dbo:Person
born_in_7,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Swimmer,dbo:City
born_in_8,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:President,xsd:gYear
end_career_on,verb,end his active career,ends his active career,ended his active career,ended his active career,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Athlete,xsd:date
play_for_2,verb,play,plays,played,played,for,IntransitivePPFrame,domain,range,1,dbo:team,dbo:Person,dbo:SportsClub
run_through_1,verb,runs,ran,run,run,through,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Place
designate_at_1,verb,designate,designates,designated,designated,at,IntransitivePPFrame,range,domain,1,dbo:year,dbo:Event,xsd:date
assassinate_in,verb,assassinate,assassinates,assassinated,assassinated,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:origin,dbo:Beverage,dbo:Country
extend_to_1,verb,extend,extends,extended,extended,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Country
admitted_as,verb,admit,admits,admitted,admitted,as,IntransitivePPFrame,range,domain,1,dbp:admittancedate,dbo:Settlement,xsd:date
establish_in_2,verb,establish,establishes,established,established,in,IntransitivePPFrame,domain,range,1,dbp:established,dbo:Agent,xsd:gYear
record_for_1,verb,record,records,recorded,recorded,for,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:Work,xsd:date
record_for_2,verb,record,records,recorded,recorded,for,IntransitivePPFrame,domain,range,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel
found_in_1,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string
shot_in_1,verb,shot,shots,shot,shot,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date
speak_in_1,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:spokenIn,dbo:Language,dbo:Place
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Place
start_at_3,verb,start,starts,started,started,at,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date
speak_in_2,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Work,dbo:Language
end_his_active_career_1,verb,end his active career,-,-,-,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Person,xsd:date
start_in_3,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Country
