lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
academic journal_of,noun,academic journal,academic journals,of,NounPPFrame,range,domain,1,rdf:type,dbo:AcademicJournal,dbo:AcademicJournal
actor_of,noun,actor,actors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Actor,dbo:Actor
administrative region_of,noun,administrative region,administrative regions,of,NounPPFrame,range,domain,1,rdf:type,dbo:AdministrativeRegion,dbo:AdministrativeRegion
adultactor_of,noun,Adult Actor,Adult Actors,of,NounPPFrame,range,domain,1,rdf:type,dbo:AdultActor,dbo:AdultActor
agent_of,noun,agent,agents,of,NounPPFrame,range,domain,1,rdf:type,dbo:Agent,dbo:Agent
aircraft_of,noun,Aircraft,Aircrafts,of,NounPPFrame,range,domain,1,rdf:type,dbo:Aircraft,dbo:Aircraft
airline_of,noun,airline,airlines,of,NounPPFrame,range,domain,1,rdf:type,dbo:Airline,dbo:Airline
airport_of,noun,airport,airports,of,NounPPFrame,range,domain,1,rdf:type,dbo:Airport,dbo:Airport
album_of,noun,album,albums,of,NounPPFrame,range,domain,1,rdf:type,dbo:Album,dbo:Album
amateurboxer_of,noun,Amateur Boxer,Amateur Boxers,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmateurBoxer,dbo:AmateurBoxer
ambassador_of,noun,Ambassador,Ambassadors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Ambassador,dbo:Ambassador
americanfootballleague_of,noun,American Football League,American Football Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballLeague,dbo:AmericanFootballLeague
american football player_of,noun,american football player,american football players,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmericanFootballPlayer,dbo:AmericanFootballPlayer
amphibian_of,noun,Amphibian,Amphibians,of,NounPPFrame,range,domain,1,rdf:type,dbo:Amphibian,dbo:Amphibian
amusementparkattraction_of,noun,Amusement Park Attraction,Amusement Park Attractions,of,NounPPFrame,range,domain,1,rdf:type,dbo:AmusementParkAttraction,dbo:AmusementParkAttraction
anatomicalstructure_of,noun,Anatomical Structure,Anatomical Structures,of,NounPPFrame,range,domain,1,rdf:type,dbo:AnatomicalStructure,dbo:AnatomicalStructure
animal_of,noun,animal,animals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Animal,dbo:Animal
anime_of,noun,Anime,Animes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Anime,dbo:Anime
arachnid_of,noun,Arachnid,Arachnids,of,NounPPFrame,range,domain,1,rdf:type,dbo:Arachnid,dbo:Arachnid
archaea_of,noun,Archaea,Archaeas,of,NounPPFrame,range,domain,1,rdf:type,dbo:Archaea,dbo:Archaea
archbishop_of,noun,Archbishop,Archbishops,of,NounPPFrame,range,domain,1,rdf:type,dbo:Archbishop,dbo:Archbishop
architect_of,noun,architect,architects,of,NounPPFrame,range,domain,1,rdf:type,dbo:Architect,dbo:Architect
architecturalstructure_of,noun,Architectural Structure,Architectural Structures,of,NounPPFrame,range,domain,1,rdf:type,dbo:ArchitecturalStructure,dbo:ArchitecturalStructure
artery_of,noun,Artery,Arterys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artery,dbo:Artery
article_of,noun,article,articles,of,NounPPFrame,range,domain,1,rdf:type,dbo:Article,dbo:Article
artist_of,noun,artist,artists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artist,dbo:Artist
artistdiscography_of,noun,Artist Discography,Artist Discographys,of,NounPPFrame,range,domain,1,rdf:type,dbo:ArtistDiscography,dbo:ArtistDiscography
artwork_of,noun,artwork,artworks,of,NounPPFrame,range,domain,1,rdf:type,dbo:Artwork,dbo:Artwork
astronaut_of,noun,Astronaut,Astronauts,of,NounPPFrame,range,domain,1,rdf:type,dbo:Astronaut,dbo:Astronaut
athlete_of,noun,athlete,athlete,of,NounPPFrame,range,domain,1,rdf:type,dbo:Athlete,dbo:Athlete
australianfootballteam_of,noun,Australian Football Team,Australian Football Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:AustralianFootballTeam,dbo:AustralianFootballTeam
australianrulesfootballplayer_of,noun,Australian Rules Football Player,Australian Rules Football Player,of,NounPPFrame,range,domain,1,rdf:type,dbo:AustralianRulesFootballPlayer,dbo:AustralianRulesFootballPlayer
author_of,noun,author,authors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Author,dbo:Author
autobiography_of,noun,autobiography,autobiography,of,NounPPFrame,range,domain,1,rdf:type,dbo:Autobiography,dbo:Autobiography
automobile_of,noun,Automobile,Automobiles,of,NounPPFrame,range,domain,1,rdf:type,dbo:Automobile,dbo:Automobile
automobileengine_of,noun,Automobile Engine,Automobile Engines,of,NounPPFrame,range,domain,1,rdf:type,dbo:AutomobileEngine,dbo:AutomobileEngine
award_of,noun,award,awards,of,NounPPFrame,range,domain,1,rdf:type,dbo:Award,dbo:Award
bacteria_of,noun,Bacteria,Bacterias,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bacteria,dbo:Bacteria
badmintonplayer_of,noun,Badminton Player,Badminton Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BadmintonPlayer,dbo:BadmintonPlayer
band_of,noun,band,bands,of,NounPPFrame,range,domain,1,rdf:type,dbo:Band,dbo:Band
bank_of,noun,Bank,Banks,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bank,dbo:Bank
baronet_of,noun,Baronet,Baronets,of,NounPPFrame,range,domain,1,rdf:type,dbo:Baronet,dbo:Baronet
baseballleague_of,noun,Baseball League,Baseball Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballLeague,dbo:BaseballLeague
baseballplayer_of,noun,Baseball Player,Baseball Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballPlayer,dbo:BaseballPlayer
baseballseason_of,noun,Baseball Season,Baseball Seasons,of,NounPPFrame,range,domain,1,rdf:type,dbo:BaseballSeason,dbo:BaseballSeason
basketballleague_of,noun,Basketball League,Basketball Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballLeague,dbo:BasketballLeague
basketball player_of,noun,basketball player,basketball players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballPlayer,dbo:BasketballPlayer
basketballteam_of,noun,Basketball Team,Basketball Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:BasketballTeam,dbo:BasketballTeam
beachvolleyballplayer_of,noun,Beach Volleyball Player,Beach Volleyball Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:BeachVolleyballPlayer,dbo:BeachVolleyballPlayer
beautyqueen_of,noun,Beauty Queen,Beauty Queens,of,NounPPFrame,range,domain,1,rdf:type,dbo:BeautyQueen,dbo:BeautyQueen
beverage_of,noun,beverage,beverages,of,NounPPFrame,range,domain,1,rdf:type,dbo:Beverage,dbo:Beverage
biologicaldatabase_of,noun,Biological Database,Biological Databases,of,NounPPFrame,range,domain,1,rdf:type,dbo:BiologicalDatabase,dbo:BiologicalDatabase
bird_of,noun,Bird,Birds,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bird,dbo:Bird
river_of,noun,river,rivers,of,NounPPFrame,range,domain,1,rdf:type,dbo:BodyOfWater,dbo:BodyOfWater
bodybuilder_of,noun,Bodybuilder,Bodybuilders,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bodybuilder,dbo:Bodybuilder
bone_of,noun,Bone,Bones,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bone,dbo:Bone
book_of,noun,book,books,of,NounPPFrame,range,domain,1,rdf:type,dbo:Book,dbo:Book
boxer_of,noun,Boxer,Boxers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Boxer,dbo:Boxer
brain_of,noun,Brain,Brains,of,NounPPFrame,range,domain,1,rdf:type,dbo:Brain,dbo:Brain
brewery_of,noun,Brewery,Brewerys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Brewery,dbo:Brewery
bridge_of,noun,Bridge,Bridges,of,NounPPFrame,range,domain,1,rdf:type,dbo:Bridge,dbo:Bridge
broadcast network_of,noun,broadcast network,broadcast networks,of,NounPPFrame,range,domain,1,rdf:type,dbo:BroadcastNetwork,dbo:BroadcastNetwork
broadcaster_of,noun,broadcaster,broadcasters,of,NounPPFrame,range,domain,1,rdf:type,dbo:Broadcaster,dbo:Broadcaster
building_of,noun,Building,dbo:Buildings,of,NounPPFrame,range,domain,1,rdf:type,dbo:Building,dbo:Building
buscompany_of,noun,Bus Company,Bus Companies,of,NounPPFrame,range,domain,1,rdf:type,dbo:BusCompany,dbo:BusCompany
businessperson_of,noun,Business Person,Business Persons,of,NounPPFrame,range,domain,1,rdf:type,dbo:BusinessPerson,dbo:BusinessPerson
canadianfootballteam_of,noun,Canadian Football Team,Canadian Football Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:CanadianFootballTeam,dbo:CanadianFootballTeam
canal_of,noun,Canal,Canals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Canal,dbo:Canal
canoeist_of,noun,Canoeist,Canoeists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Canoeist,dbo:Canoeist
cardinal_of,noun,Cardinal,Cardinals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cardinal,dbo:Cardinal
castle_of,noun,Castle,Castles,of,NounPPFrame,range,domain,1,rdf:type,dbo:Castle,dbo:Castle
cave_of,noun,Cave,Caves,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cave,dbo:Cave
cheese_of,noun,Cheese,Cheeses,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cheese,dbo:Cheese
chef_of,noun,Chef,Chefs,of,NounPPFrame,range,domain,1,rdf:type,dbo:Chef,dbo:Chef
chemicalcompound_of,noun,Chemical Compound,Chemical Compounds,of,NounPPFrame,range,domain,1,rdf:type,dbo:ChemicalCompound,dbo:ChemicalCompound
chessplayer_of,noun,Chess Player,Chess Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:ChessPlayer,dbo:ChessPlayer
christianbishop_of,noun,Christian Bishop,Christian Bishops,of,NounPPFrame,range,domain,1,rdf:type,dbo:ChristianBishop,dbo:ChristianBishop
cinema_of,noun,Cinema,Cinemas,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cinema,dbo:Cinema
city_of,noun,city,cities,of,NounPPFrame,range,domain,1,rdf:type,dbo:City,dbo:City
citydistrict_of,noun,City District,City Districts,of,NounPPFrame,range,domain,1,rdf:type,dbo:CityDistrict,dbo:CityDistrict
classicalmusicartist_of,noun,Classical Music Artist,Classical Music Artists,of,NounPPFrame,range,domain,1,rdf:type,dbo:ClassicalMusicArtist,dbo:ClassicalMusicArtist
classicalmusiccomposition_of,noun,Classical Music Composition,Classical Music Compositions,of,NounPPFrame,range,domain,1,rdf:type,dbo:ClassicalMusicComposition,dbo:ClassicalMusicComposition
cleric_of,noun,Cleric,Clerics,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cleric,dbo:Cleric
college_of,noun,College,Colleges,of,NounPPFrame,range,domain,1,rdf:type,dbo:College,dbo:College
collegecoach_of,noun,College Coach,CollegeCoachs,of,NounPPFrame,range,domain,1,rdf:type,dbo:CollegeCoach,dbo:CollegeCoach
color_of,noun,color,colors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Color,dbo:Color
color_of,noun,color,colors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Colour,dbo:Colour
combinationdrug_of,noun,Combination Drug,Combination Drugs,of,NounPPFrame,range,domain,1,rdf:type,dbo:CombinationDrug,dbo:CombinationDrug
comedian_of,noun,Comedian,Comedians,of,NounPPFrame,range,domain,1,rdf:type,dbo:Comedian,dbo:Comedian
comedygroup_of,noun,Comedy Group,Comedy Groups,of,NounPPFrame,range,domain,1,rdf:type,dbo:ComedyGroup,dbo:ComedyGroup
comic_of,noun,Comic,Comics,of,NounPPFrame,range,domain,1,rdf:type,dbo:Comic,dbo:Comic
comicstrip_of,noun,Comic Strip,Comic Strips,of,NounPPFrame,range,domain,1,rdf:type,dbo:ComicStrip,dbo:ComicStrip
comic character_of,noun,comic character,comic characters,of,NounPPFrame,range,domain,1,rdf:type,dbo:ComicsCharacter,dbo:ComicsCharacter
comicscreator_of,noun,Comics Creator,Comics Creators,of,NounPPFrame,range,domain,1,rdf:type,dbo:ComicsCreator,dbo:ComicsCreator
company_of,noun,company,company,of,NounPPFrame,range,domain,1,rdf:type,dbo:Company,dbo:Company
concentrationcamp_of,noun,Concentration Camp,Concentration Camps,of,NounPPFrame,range,domain,1,rdf:type,dbo:ConcentrationCamp,dbo:ConcentrationCamp
congressman_of,noun,Congressman,Congressmans,of,NounPPFrame,range,domain,1,rdf:type,dbo:Congressman,dbo:Congressman
convention_of,noun,Convention,Conventions,of,NounPPFrame,range,domain,1,rdf:type,dbo:Convention,dbo:Convention
country_of,noun,country,countries,of,NounPPFrame,range,domain,1,rdf:type,dbo:Country,dbo:Country
crater_of,noun,Crater,Craters,of,NounPPFrame,range,domain,1,rdf:type,dbo:Crater,dbo:Crater
cricketground_of,noun,Cricket Ground,Cricket Grounds,of,NounPPFrame,range,domain,1,rdf:type,dbo:CricketGround,dbo:CricketGround
cricketteam_of,noun,Cricket Team,Cricket Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:CricketTeam,dbo:CricketTeam
cricketer_of,noun,Cricketer,Cricketers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cricketer,dbo:Cricketer
criminal_of,noun,Criminal,Criminals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Criminal,dbo:Criminal
crustacean_of,noun,Crustacean,Crustaceans,of,NounPPFrame,range,domain,1,rdf:type,dbo:Crustacean,dbo:Crustacean
cultivatedvariety_of,noun,Cultivated Variety,Cultivated Varietys,of,NounPPFrame,range,domain,1,rdf:type,dbo:CultivatedVariety,dbo:CultivatedVariety
curler_of,noun,Curler,Curlers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Curler,dbo:Curler
currency_of,noun,currency,currencies,of,NounPPFrame,range,domain,1,rdf:type,dbo:Currency,dbo:Currency
cyclingrace_of,noun,Cycling Race,Cycling Races,of,NounPPFrame,range,domain,1,rdf:type,dbo:CyclingRace,dbo:CyclingRace
cyclingteam_of,noun,Cycling Team,Cycling Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:CyclingTeam,dbo:CyclingTeam
cyclist_of,noun,Cyclist,Cyclists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Cyclist,dbo:Cyclist
dam_of,noun,Dam,Dams,of,NounPPFrame,range,domain,1,rdf:type,dbo:Dam,dbo:Dam
dartsplayer_of,noun,DartsPlayer,DartsPlayers,of,NounPPFrame,range,domain,1,rdf:type,dbo:DartsPlayer,dbo:DartsPlayer
device_of,noun,Device,Devices,of,NounPPFrame,range,domain,1,rdf:type,dbo:Device,dbo:Device
diocese_of,noun,Diocese,Dioceses,of,NounPPFrame,range,domain,1,rdf:type,dbo:Diocese,dbo:Diocese
disease_of,noun,disease,diseases,of,NounPPFrame,range,domain,1,rdf:type,dbo:Disease,dbo:Disease
drug_of,noun,Drug,Drugs,of,NounPPFrame,range,domain,1,rdf:type,dbo:Drug,dbo:Drug
earthquake_of,noun,Earthquake,Earthquakes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Earthquake,dbo:Earthquake
economist_of,noun,Economist,Economists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Economist,dbo:Economist
educational institution_of,noun,educational institution,educational institutions,of,NounPPFrame,range,domain,1,rdf:type,dbo:EducationalInstitution,dbo:EducationalInstitution
election_of,noun,Election,Elections,of,NounPPFrame,range,domain,1,rdf:type,dbo:Election,dbo:Election
embryology_of,noun,Embryology,Embryologys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Embryology,dbo:Embryology
engineer_of,noun,Engineer,Engineers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Engineer,dbo:Engineer
entomologist_of,noun,Entomologist,Entomologists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Entomologist,dbo:Entomologist
enzyme_of,noun,Enzyme,Enzymes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Enzyme,dbo:Enzyme
ethnic group_of,noun,ethnic group,ethnic groups,of,NounPPFrame,range,domain,1,rdf:type,dbo:EthnicGroup,dbo:EthnicGroup
eukaryote_of,noun,Eukaryote,Eukaryotes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Eukaryote,dbo:Eukaryote
eurovisionsongcontestentry_of,noun,Eurovision Song Contest Entry,Eurovision Song Contest Entrys,of,NounPPFrame,range,domain,1,rdf:type,dbo:EurovisionSongContestEntry,dbo:EurovisionSongContestEntry
event_of,noun,event,events,of,NounPPFrame,range,domain,1,rdf:type,dbo:Event,dbo:Event
fashion_of,noun,Fashion,Fashions,of,NounPPFrame,range,domain,1,rdf:type,dbo:Fashion,dbo:Fashion
fashiondesigner_of,noun,Fashion Designer,Fashion Designers,of,NounPPFrame,range,domain,1,rdf:type,dbo:FashionDesigner,dbo:FashionDesigner
fictional character_of,noun,fictional character,fictional characters,of,NounPPFrame,range,domain,1,rdf:type,dbo:FictionalCharacter,dbo:FictionalCharacter
figureskater_of,noun,Figure Skater,Figure Skaters,of,NounPPFrame,range,domain,1,rdf:type,dbo:FigureSkater,dbo:FigureSkater
film_of,noun,film,films,of,NounPPFrame,range,domain,1,rdf:type,dbo:Film,dbo:Film
filmfestival_of,noun,Film Festival,Film Festivals,of,NounPPFrame,range,domain,1,rdf:type,dbo:FilmFestival,dbo:FilmFestival
fish_of,noun,Fish,Fishs,of,NounPPFrame,range,domain,1,rdf:type,dbo:Fish,dbo:Fish
food_of,noun,food,foods,of,NounPPFrame,range,domain,1,rdf:type,dbo:Food,dbo:Food
footballleagueseason_of,noun,Football League Season,Football League Seasons,of,NounPPFrame,range,domain,1,rdf:type,dbo:FootballLeagueSeason,dbo:FootballLeagueSeason
footballmatch_of,noun,Football Match,Football Matchs,of,NounPPFrame,range,domain,1,rdf:type,dbo:FootballMatch,dbo:FootballMatch
formermunicipality_of,noun,Former Municipality,Former Municipalitys,of,NounPPFrame,range,domain,1,rdf:type,dbo:FormerMunicipality,dbo:FormerMunicipality
formulaoneracer_of,noun,Formula One Racer,Formula One Racers,of,NounPPFrame,range,domain,1,rdf:type,dbo:FormulaOneRacer,dbo:FormulaOneRacer
formulaoneteam_of,noun,Formula OneTeam,Formula One Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:FormulaOneTeam,dbo:FormulaOneTeam
book_of,noun,book,book,of,NounPPFrame,range,domain,1,rdf:type,dbo:Foundation_series,dbo:Foundation_series
fungus_of,noun,Fungus,Funguss,of,NounPPFrame,range,domain,1,rdf:type,dbo:Fungus,dbo:Fungus
gaelicgamesplayer_of,noun,Gaelic Games Player,Gaelic Games Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:GaelicGamesPlayer,dbo:GaelicGamesPlayer
galaxy_of,noun,Galaxy,Galaxys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Galaxy,dbo:Galaxy
game_of,noun,Game,Games,of,NounPPFrame,range,domain,1,rdf:type,dbo:Game,dbo:Game
garden_of,noun,Garden,Gardens,of,NounPPFrame,range,domain,1,rdf:type,dbo:Garden,dbo:Garden
genre_of,noun,genre,genres,of,NounPPFrame,range,domain,1,rdf:type,dbo:Genre,dbo:Genre
givenname_of,noun,Given Name,Given Names,of,NounPPFrame,range,domain,1,rdf:type,dbo:GivenName,dbo:GivenName
glacier_of,noun,Glacier,Glaciers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Glacier,dbo:Glacier
golfcourse_of,noun,Golf Course,Golf Courses,of,NounPPFrame,range,domain,1,rdf:type,dbo:GolfCourse,dbo:GolfCourse
golfplayer_of,noun,Golf Player,Golf Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:GolfPlayer,dbo:GolfPlayer
golftournament_of,noun,Golf Tournament,Golf Tournaments,of,NounPPFrame,range,domain,1,rdf:type,dbo:GolfTournament,dbo:GolfTournament
governmentagency_of,noun,Government Agency,Government Agencys,of,NounPPFrame,range,domain,1,rdf:type,dbo:GovernmentAgency,dbo:GovernmentAgency
governor_of,noun,Governor,Governors,of,NounPPFrame,range,domain,1,rdf:type,dbo:Governor,dbo:Governor
grandprix_of,noun,Grand Prix,Grand Prixs,of,NounPPFrame,range,domain,1,rdf:type,dbo:GrandPrix,dbo:GrandPrix
grape_of,noun,grape,grapes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Grape,dbo:Grape
greenalga_of,noun,Green Alga,Green Algas,of,NounPPFrame,range,domain,1,rdf:type,dbo:GreenAlga,dbo:GreenAlga
guitarist_of,noun,Guitarist,Guitarists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Guitarist,dbo:Guitarist
gymnast_of,noun,Gymnast,Gymnasts,of,NounPPFrame,range,domain,1,rdf:type,dbo:Gymnast,dbo:Gymnast
handballplayer_of,noun,Handball Player,Handball Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:HandballPlayer,dbo:HandballPlayer
handballteam_of,noun,Handball Team,Handball Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:HandballTeam,dbo:HandballTeam
historian_of,noun,Historian,Historians,of,NounPPFrame,range,domain,1,rdf:type,dbo:Historian,dbo:Historian
historicbuilding_of,noun,Historic Building,Historic Buildings,of,NounPPFrame,range,domain,1,rdf:type,dbo:HistoricBuilding,dbo:HistoricBuilding
historicplace_of,noun,Historic Place,Historic Places,of,NounPPFrame,range,domain,1,rdf:type,dbo:HistoricPlace,dbo:HistoricPlace
hockeyteam_of,noun,Hockey Team,Hockey Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:HockeyTeam,dbo:HockeyTeam
holiday_of,noun,Holiday,Holidays,of,NounPPFrame,range,domain,1,rdf:type,dbo:Holiday,dbo:Holiday
hollywoodcartoon_of,noun,Hollywood Cartoon,Hollywood Cartoons,of,NounPPFrame,range,domain,1,rdf:type,dbo:HollywoodCartoon,dbo:HollywoodCartoon
horse_of,noun,Horse,Horses,of,NounPPFrame,range,domain,1,rdf:type,dbo:Horse,dbo:Horse
horserace_of,noun,Horse Race,Horse Races,of,NounPPFrame,range,domain,1,rdf:type,dbo:HorseRace,dbo:HorseRace
horsetrainer_of,noun,Horse Trainer,Horse Trainers,of,NounPPFrame,range,domain,1,rdf:type,dbo:HorseTrainer,dbo:HorseTrainer
hospital_of,noun,Hospital,Hospitals,of,NounPPFrame,range,domain,1,rdf:type,dbo:Hospital,dbo:Hospital
hotel_of,noun,Hotel,Hotels,of,NounPPFrame,range,domain,1,rdf:type,dbo:Hotel,dbo:Hotel
humangene_of,noun,Human Gene,Human Genes,of,NounPPFrame,range,domain,1,rdf:type,dbo:HumanGene,dbo:HumanGene
ice hockey league_of,noun,Ice Hockey League,Ice Hockey Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:IceHockeyLeague,dbo:IceHockeyLeague
icehockeyplayer_of,noun,Ice Hockey Player,Ice Hockey Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:IceHockeyPlayer,dbo:IceHockeyPlayer
ideology_of,noun,ideology,ideologies,of,NounPPFrame,range,domain,1,rdf:type,dbo:Ideology,dbo:Ideology
informationappliance_of,noun,Information Appliance,Information Appliances,of,NounPPFrame,range,domain,1,rdf:type,dbo:InformationAppliance,dbo:InformationAppliance
infrastructure_of,noun,infrastructure,infrastructures,of,NounPPFrame,range,domain,1,rdf:type,dbo:Infrastructure,dbo:Infrastructure
insect_of,noun,Insect,Insects,of,NounPPFrame,range,domain,1,rdf:type,dbo:Insect,dbo:Insect
island_of,noun,Island,Islands,of,NounPPFrame,range,domain,1,rdf:type,dbo:Island,dbo:Island
jockey_of,noun,Jockey,Jockeys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Jockey,dbo:Jockey
journalist_of,noun,Journalist,Journalists,of,NounPPFrame,range,domain,1,rdf:type,dbo:Journalist,dbo:Journalist
lacrosseplayer_of,noun,Lacrosse Player,Lacrosse Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:LacrossePlayer,dbo:LacrossePlayer
lake_of,noun,lake,lakes,of,NounPPFrame,range,domain,1,rdf:type,dbo:Lake,dbo:Lake
language_of,noun,language,languages,of,NounPPFrame,range,domain,1,rdf:type,dbo:Language,dbo:Language
launch pad_of,noun,launch pad,launch pads,of,NounPPFrame,range,domain,1,rdf:type,dbo:LaunchPad,dbo:LaunchPad
