lexicalEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
Develop_1,verb,develop,develops,developed,developed,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,by
Develop_2,verb,develop,develops,developed,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,by
direct_2,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person,by
paint_1,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,by
paint_2,verb,paint,paints,painted,painted,TransitiveFrame,range,domain,1,dbo:artist,dbo:Work,dbo:Person,by
exhibit,verb,exhibit,exhibits,exhibited,exhibited,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,by
discover_1,verb,discover,discovers,discovered,discovered,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,by
cross,verb,cross,crosses,crossed,crossed,TransitiveFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:River,by
win_1,verb,win,wins,won,won,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,by
create_1,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,by
create_2,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,by
create_3,verb,create,creates,created,created,TransitiveFrame,range,domain,1,dbo:notableWork,dbo:Work,dbo:Person,by
starr_in_1,verb,starring in,starring in,starred in,starred_in,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,by
star_3,verb,star,stars,starred,starred,TransitiveFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Actor,by
play_1,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,by
play_2,verb,play,plays,played,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,by
Play_3,verb,play,playes,played,played,TransitiveFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,by
publish_1,verb,publish,publishes,published,published,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Publisher,by
publish_2,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,by
Publish_3,verb,publish,publishes,published,published,TransitiveFrame,range,domain,2,dbo:publisher,dbo:VideoGame,dbo:Company,by
publish_4,verb,publish,publishes,published,published,TransitiveFrame,range,domain,4,dbp:publisher,dbo:Work,dbo:Agent,by
direct_1,verb,direct,directs,directed,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,by
serve_1,verb,serve,serves,served,served,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,by
design_1,verb,design,designs,designed,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,by
design_2,verb,design,designs,designed,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,by
cost_1,verb,cost,costs,costed,costed,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,by
write_1,verb,write,writes,wrote,written,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,by
Write_2,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,2,dbp:writer,dbo:Work,dbo:Person,by
Write_3,verb,write,writes,wrote,written,TransitiveFrame,range,domain,3,dbo:composer,dbo:TelevisionShow,dbo:Person,by
Write_4,verb,write,writes,wrote,written,TransitiveFrame,range,domain,4,dbo:author,dbo:Book,dbo:Person,by
Write_5,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,5,dbp:allLyrics,dbo:Album,dbo:Person,by
Write_6,verb,write,writes,wrote,wrote,TransitiveFrame,range,domain,6,dbp:editor,dbo:Work,dbo:Person,by
express,verb,express,expresses,expressed,expressed,TransitiveFrame,domain,range,1,dbo:connotation,dbo:Colour,owl:Thing,by
call_1,verb,call,calls,called,called,TransitiveFrame,range,domain,1,dbp:nickname,dbo:Person,xsd:String,by
found_1,verb,found,found,founded,founded,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Pope,by
found_2,verb,found,founds,founded,founded,TransitiveFrame,range,domain,2,dbp:founder,dbo:Organisation,dbo:Person,by
inspire_1,verb,inspire,inspires,inspired,inspired,TransitiveFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,by
marry_1,verb,marry,marries,married,married,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,to
produce_1,verb,produce,produces,produced,produced,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Ship,by
produce_2,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,by
produce_3,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,3,dbo:executiveProducer,dbo:TelevisionShow,dbo:Person,by
produce_4,verb,produce,produces,produced,produced,TransitiveFrame,range,domain,3,dbo:manufacturer,dbo:Beverage,dbo:Organisation,by
produce_5,verb,produce,produce,produced,produced,TransitiveFrame,domain,range,1,dbo:director,dbo:Film,dbo:Person,by
compose_2,verb,compose,composes,composed,composed,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Work,dbo:Person,by
operate_1,verb,operate,operates,operated,operated,TransitiveFrame,range,domain,1,dbo:operator,dbo:Organisation,dbo:LaunchPad,by
operate_2,verb,operate,operates,operated,operated,TransitiveFrame,range,domain,1,dbp:operator,dbo:Airport,dbo:Organisation,by
present_1,verb,present,presents,presented,presented,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,by
perform_1,verb,perform,performs,performed,performed,TransitiveFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,by
succeed_1,verb,succeed,succeeds,succeeded,succeeded,TransitiveFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,by
distribute_1,verb,distribute,distributes,distributed,distributed,TransitiveFrame,range,domain,1,dbo:distributor,dbo:TelevisionShow,dbo:Organisation,by
air_1,verb,air,airs,aired,aired,TransitiveFrame,range,domain,1,dbo:network,dbo:Film,dbo:Broadcaster,by
precede_1,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,1,dbp:prevTitle,dbo:Album,dbo:Album,by
precede_2,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,2,dbo:previousWork,dbo:Work,dbo:Work,by
precede_3,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,3,dbp:after,dbo:Politician,dbo:Politician,by
precede_4,verb,precede,precedes,preceded,preceded,TransitiveFrame,range,domain,4,dbp:predecessor,dbo:Politician,dbo:Politician,by
own_1,verb,own,owns,owned,owned,TransitiveFrame,range,domain,1,dbo:owner,dbo:Airport,dbo:Agent,by
operate_1,verb,operate,operates,operated,operated,TransitiveFrame,range,domain,1,dbp:operator,dbo:Airport,dbo:Organisation,by
control_1,verb,control,controls,controlled,controlled,TransitiveFrame,range,domain,1,dbp:controlledby,dbo:Airport,dbo:Organisation,by
illustrate_1,verb,illustrate,illustrates,illustrated,illustrated,TransitiveFrame,range,domain,1,dbo:illustrator,dbo:WrittenWork,dbo:Person,by
support_1,verb,support,supports,supported,supported,TransitiveFrame,range,domain,1,dbo:ideology,dbo:Ideology,dbo:Agent,by
speak_2,verb,speak,speaks,spoke,spoken,TransitiveFrame,range,domain,1,dbo:officialLanguage,dbo:Language,dbo:PopulatedPlace,by
join_1,verb,join,joins,joined,joined,TransitiveFrame,range,domain,1,dbo:riverMouth,dbo:BodyOfWater,dbo:River,by
leave_1,verb,leave,leaves,left,left,TransitiveFrame,range,domain,1,dbo:formerBandMember,dbo:Band,dbo:Person,by
program_1,verb,program,programs,programmed,programmed,TransitiveFrame,range,domain,1,dbp:programmer,dbo:Software,dbo:Person,by
cover_1,verb,cover,covers,covered,covered,TransitiveFrame,range,domain,1,dbo:academicDiscipline,owl:Thing,dbo:AcademicJournal,by
edit_1,verb,edit,edits,edited,edited,TransitiveFrame,range,domain,1,dbo:editor,dbo:AcademicJournal,dbo:Agent,by
manage_1,verb,manage,manages,managed,managed,TransitiveFrame,range,domain,1,dbo:managerClub,dbo:SportsTeam,dbo:Athlete,by
lead_1,verb,lead,leads,led,led,TransitiveFrame,range,domain,1,dbp:leaderName,dbo:Place,dbo:Person,by
drain_1,verb,drain,drains,drained,drained,TransitiveFrame,range,domain,1,dbo:outflow,dbo:BodyOfWater,dbo:River,by
maintain_1,verb,maintain,maintains,maintained,maintained,TransitiveFrame,range,domain,1,dbo:maintainedBy,dbo:ArchitecturalStructure,dbo:Agent,by
rent_1,verb,rent,rents,rented,rented,TransitiveFrame,range,domain,1,dbo:tenant,dbo:ArchitecturalStructure,dbo:Organisation,by
breed_1,verb,breed,breeds,bred,bred,TransitiveFrame,range,domain,1,dbo:breeder,dbo:Animal,dbo:Person,by
train_1,verb,train,trains,trained,trained,TransitiveFrame,range,domain,1,dbo:trainer,dbo:Athlete,dbo:Person,by
follow_1,verb,follow,follows,followed,followed,TransitiveFrame,range,domain,1,dbp:nextTitle,dbo:Album,dbo:Album,by
follow_2,verb,follow,follows,followed,followed,TransitiveFrame,range,domain,2,dbo:subsequentWork,dbo:Work,dbo:Work,by
follow_3,verb,follow,follows,followed,followed,TransitiveFrame,range,domain,3,dbp:before,dbo:Politician,dbo:Politician,by
follow_4,verb,follow,follows,followed,followed,TransitiveFrame,range,domain,4,dbp:successor,dbo:Politician,dbo:Politician,by
adopt,verb,adopt,adopts,adopted,adopted,TransitiveFrame,domain,range,4,dbo:currency,dbo:Country,dbo:Currency,by
border,verb,border,borders,bordered,bordered,TransitiveFrame,range,domain,4,dbp:borderingstates,dbo:State,dbo:State,by
Play_4,verb,play,playes,played,played,TransitiveFrame,domain,range,1,dbo:genre,dbo:MusicalWork,dbo:Person,by
Influence_3,verb,Influence,Influences,Influenced,Influenced,TransitiveFrame,range,domain,1,dbo:influencedBy,dbo:Person,dbo:Person,by
Possess_1,verb,poss,possess,possessed,possessed,TransitiveFrame,range,domain,1,dbp:mineral,dbo:Place,dbo:Mineral,by
Erupt_1,verb,erupt,erupts,erupted,erupted,TransitiveFrame,domain,range,1,dbo:eruptionYear,dbo:Volcano,xsd:gYear,by
Kill_1,verb,kill,kills,killed,killed,TransitiveFrame,domain,range,1,dbp:conviction,dbo:Person,dbo:MilitaryConflict,by
Play_1,verb,play,plays,played,played,TransitiveFrame,domain,range,1,dbo:portrayer,dbo:Agent,dbo:Work,by
Call_1,verb,call,calls,called,called,TransitiveFrame,domain,range,1,dbp:shipNamesake,dbo:Ship,dbo:Person,by
Play_2,verb,play,plays,played,played,TransitiveFrame,domain,range,1,dbo:instrument,dbo:Person,dbo:Company,by
Join_2,verb,join,joins,joined,joined,TransitiveFrame,domain,range,1,dbo:accessioneudate,dbo:Country,xsd:date,by
Graduated_1,verb,graduate,graduates,graduated,graduated,TransitiveFrame,domain,range,1,dbo:almaMater,dbo:Person,dbo:Agent,by
Pay_1,verb,pay,pays,payed,payed,TransitiveFrame,domain,range,1,dbo:currency,dbo:Place,dbo:Currency,by
Attend_1,verb,attend,attends,attended,attended,TransitiveFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:Agent,by
Called_1,verb,call,calls,called,called,TransitiveFrame,domain,range,1,rdfs:label,dbo:VideoGame,xsd:string,by
first_to_climb,verb,first to climb,-,-,-,TransitiveFrame,domain,range,1,dbo:firstAscentPerson,dbo:Mountain,dbo:Person,by
win_1,verb,win,wins,won,won,TransitiveFrame,domain,range,1,dbo:award,dbo:Scientist,dbo:Award,by
Play_4,verb,play,playes,played,played,TransitiveFrame,domain,range,1,dbo:genre,dbo:MusicalWork,dbo:Person,by
succeed_1,verb,succeed,succeeds,succeeded,succeeded,TransitiveFrame,range,domain,1,dbp:successor,dbo:Person,dbo:Person,by