musicals with music by ,dbo:musicBy,List all the musicals with music by Elton John.,SELECT ?s WHERE { ?s <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> . } ,
music,dbo:musicBy,List all the music by Elton John.,SELECT ?s WHERE { ?s <http://dbpedia.org/ontology/musicBy> <http://dbpedia.org/resource/Elton_John> . } ,
high,dbo:height,How high is the lighthouse in Colombo?,SELECT  ?o Where { <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?o . },
wife,dbo:spouse,Who was the wife of Abraham Lincoln?,SELECT  ?o Where { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/spouse> ?o . },
cost,dbo:budget,How much did Pulp Fiction cost?,SELECT  ?o Where { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?o . },
host,dbo:presenter,Who is the host of the BBC Wildlife Specials?,SELECT  ?o Where { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?o . },
city in,dbo:locationCity,In what city is the Heineken International?,SELECT ?o WHERE { <http://dbpedia.org/resource/Heineken_International> <http://dbpedia.org/ontology/locationCity> ?o },
manufacturer of,dbo:manufacturer,Who is the manufacturer of Heineken?,SELECT ?o WHERE { <http://dbpedia.org/resource/Heineken> <http://dbpedia.org/ontology/manufacturer> ?o },
commence,dbo:date,When did Operation Overlord commence?,SELECT  ?o WHERE { <http://dbpedia.org/resource/Operation_Overlord> <http://dbpedia.org/ontology/date> ?o . } ,
develop,dbo:product,Who developed Slack?,SELECT ?s WHERE { ?s <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Slack_(software)> . },
end,dbo:routeEnd,In which city does the Chile Route 68 end?,SELECT  ?o Where { <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?o. },
married,dbo:spouse,Who married Jacques Chirac?,SELECT  ?o Where { <http://dbpedia.org/resource/Jacques_Chirac> <http://dbpedia.org/ontology/spouse> ?o. },
die,dbo:deathCause,What did Bruce Carver die from?,SELECT  ?o Where { <http://dbpedia.org/resource/Bruce_Carver > <http://dbpedia.org/ontology/deathCause> ?o. },
paint,dbp:artist,Who painted The Storm on the Sea of Galilee?,SELECT  ?o Where { <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist> ?o. },
flow through,dbo:city,Which cities does the Weser flow through?,SELECT ?o WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?o . } ,
daughter of,dbo:child,Who is the daughter of Robert F. Kennedy?,SELECT  ?o WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?o . } ,
exhibit ,dbo:museum,Which museum exhibits The Scream?,SELECT  ?o WHERE {  <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum> ?o . } ,
write,dbo:author,Who wrote the book The Pillars of the Earth?,SELECT  ?oi Where { <http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o. },
discover,dbo:discoverer,Who discovered Ceres?,SELECT ?o WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?o . },
cross,dbo:crosses,Which river does the Brooklyn Bridge cross?,SELECT ?o WHERE { <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses> ?o . },
capital,dbo:capital,What is the capital of French Polynesia?,SELECT  ?oi Where { <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital> ?o. },
publish,dbo:publisher,which books were published by Viking Press?,"""select ?s {?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . }",
book by,dbo:author,Which books are books by Jack Kerouac?,SELECT DISTINCT ?s WHERE { ?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,
play,dbo:starring,In which films did Julia Roberts play? Julia Roberts,SELECT ?s WHERE {  ?s <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> . } ,
play,dbo:starring,In which films did Richard Gere play?,SELECT ?s WHERE {  ?s <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,
ingredient,dbo:ingredient,What is the ingredient of Chocolate chip cookie?,SELECT ?s WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?s . },
episode,dbo:series,List all episodes of the television series The Sopranos!,SELECT ?s WHERE {  ?s <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/The_Sopranos>  .  },
series,dbo:series,List all seasons of  the television series The Sopranos!,SELECT ?s WHERE {  ?s <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/The_Sopranos>  .  },
tall,dbo:height,How tall is Amazon Eve?,SELECT  ?o Where { <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?o . },
call,dbp:nickname,Who was called Frank The Tank?,"""select ?s {?s <http://dbpedia.org/property/nickname> 'Frank The Tank'@en . }",
large ,dbo:areaTotal,What is the largest country in the world?,"""SELECT DISTINCT ?subjOfProp Where { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . } ORDER BY DESC(?num) LIMIT 1""",
cost,dbo:budget,How much did the Lego Movie cost?,"""select ?o { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?o . }",
start,dbo:routeStart,Where does Piccadilly start?,SELECT ?o Where { ?o <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. },
speak,dbo:language,How many languages are spoken in Turkmenistan?,"""select (COUNT(DISTINCT ?objOfProp) as ?c) Where { <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?objOfProp . }",
live,dbo:populationTotal,How many people live in Poland?,"""select ?o { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?o . }",
high,dbo:elevation,What is the highest mountain in Australia?,"""SELECT DISTINCT ?subjOfProp Where { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . } ORDER BY DESC(?num) LIMIT 1""",
stand,dbo:abbreviation,What does IYCM stand for?,"""select ?s { ?s <http://dbpedia.org/ontology/abbreviation> 'IYCM'  }""",
large ,dbo:largestCity,What is the largest city in Australia?,"""select ?o { <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/largestCity> ?o .  }""",
editor,dbo:editor,Who is the editor of Forbes?,"""select ?o { <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?o . }",
born,dbo:birthPlace,Which professional surfers were born in Australia?,"""select ?s { ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Australia> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Surfing> . }",
found,dbo:foundationPlace,Which companies were founded in Beijing?,select ?s { ?s <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . },
direct,dbo:director,Give me all films directed by Francis Ford Coppola?,"""select ?s { ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . }",
call,dbp:nickname,Who was called Rodzilla?,"""select ?s { ?s <http://dbpedia.org/property/nickname> 'Rodzilla'@en . }",
called,dbp:nickname,Who was called Rodzilla?,"""select ?s { ?s <http://dbpedia.org/property/nickname> 'Rodzilla'@en . }",
real name,dbo:alterEgo,What is Batman's real name?,"""select ?o {<http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?o . }""",
produce,dbo:product,How many companies are produced by Facebook?,"select (COUNT(DISTINCT ?subjOfProp) as ?c) Where  {?subjOfProp <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Facebook> . }""",
child,dbo:child,show me all children of Benjamin Franklin,"""select ?o {<http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?o . }""",
grow,dbo:growingGrape,in which wine region is Melon de Bourgogne grown?,"""select ?s {?s <http://dbpedia.org/ontology/growingGrape> <http://dbpedia.org/resource/Melon_de_Bourgogne> . }""",
old ,dbo:birthDate,Who is the oldest child of Meryl Streep?,"""SELECT DISTINCT ?objOfProp Where  {<http://dbpedia.org/resource/Meryl_Streep> <http://dbpedia.org/ontology/child> ?objOfProp . ?objOfProp <http://dbpedia.org/ontology/birthDate> ?num . } ORDER BY ASC(?num) LIMIT 1""",
game,dbo:publisher,List all games by GMT.,?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/MetaTV> .,
flow,dbo:inflow,What does Isar flow into?,"""select ?s { ?s <http://dbpedia.org/ontology/inflow> <http://dbpedia.org/resource/Isar> . }""",
serve,dbo:targetAirport,Which airports does Yeti Airlines serve?,"""""""select ?o  {<http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . }""""""",
live in ,dbo:ethnicGroup,How many ethnic groups live in Slovenia?,"""select (COUNT(DISTINCT ?objOfProp) as ?c) Where  {<http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?objOfProp . }""",
president,dbo:office,Who is the president of Eritrea?,"""select ?o {<http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/office> ?o . }""",
vice president,dbo:vicePresident,Who was John F. Kennedy's vice president?,"""select ?o  {<http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?o . }""",
successor,dbo:successor,Who was the successor of John F. Kennedy?,"""select ?o {<http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/successor> ?o . }""",
time zone ,dbo:timeZone,In which time zone is Rome?,"""select ?o {<http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?o . }""",
currency,dbo:currency,Give me the currency of China.,"""select ?o {<http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?o . }""",
king,dbo:leader ,Who is the king of the Netherlands?,"""select ?o {<http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?o . }""",
participate,dbo:battle,in which conflicts T. E. Lawrence participate?,"""select ?o {<http://dbpedia.org/resource/T._E._Lawrence> <http://dbpedia.org/ontology/battle> ?o . }""",
born,dbo:birthPlace,in which city did President of Montenegro born?,"""select ?o {<http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/birthPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . }""",
write,dbo:author,Show me the book that Muhammad Ali wrote.,"""select ?s {?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Muhammad_Ali> . }""",
starr,dbo:starring,Give me all actors starring in Last Action Hero.,"""select ?o {<http://dbpedia.org/resource/Last_Action_Hero> <http://dbpedia.org/ontology/starring> ?o . }""",
nickname,dbp:nickname,What are the nicknames of San Francisco?,"""select ?o {<http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?o . }""",
create,dbo:creator,Which television shows were created by Walt Disney?,"""select ?s {?s <http://dbpedia.org/ontology/creator> <http://dbpedia.org/resource/Walt_Disney> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow> . }""",
inspire,dbo:influenced,Who was Vincent van Gogh inspired by?,"""select ?s {?s <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Vincent_van_Gogh> . }""",
die,dbo:deathPlace,in which city did John F. Kennedy die?,"""select ?o {<http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/deathPlace> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . }""",
write,dbo:composer,Who wrote Game of Thrones?,"""select ?o {<http://dbpedia.org/resource/Game_of_Thrones> <http://dbpedia.org/ontology/composer> ?o . }""",
grow,dbo:growingGrape,which grapes grow in Oregon wine?,"""select ?o {<http://dbpedia.org/resource/Oregon_wine> <http://dbpedia.org/ontology/growingGrape> ?o . }""",
write,dbo:author,Who wrote the book The Pillars of the Earth?,"""select ?o {<http://dbpedia.org/resource/The_Pillars_of_the_Earth> <http://dbpedia.org/ontology/author> ?o . }""",
high,dbo:elevation,How high is the Mount Everest?,"""select ?o {<http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/elevation> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . }""",
supervisor,dbo:doctoralAdvisor,Who was the doctoral supervisor of Albert Einstein?,"""select ?o {<http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?o . }""",
live,dbo:residence,In which city does Sylvester Stallone live?,"""select ?o {<http://dbpedia.org/resource/Sylvester_Stallone> <http://dbpedia.org/ontology/residence> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . }""",
headquarter,dbp:location,In which city are the headquarters of the United Nations?,"""select ?o {<http://dbpedia.org/resource/Headquarters_of_the_United_Nations> <http://dbpedia.org/property/location> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . }""",
founder,dbo:founder,Who is the founder of Penguin Books?,"""select ?o {<http://dbpedia.org/resource/Penguin_Books> <http://dbpedia.org/ontology/founder> ?o . }""",
founded,dbo:foundingYear,When was Jack Wolfskin founded?,"""select ?o {<http://dbpedia.org/resource/Jack_Wolfskin> <http://dbpedia.org/ontology/foundingYear> ?o . }""",
mayor,dbo:leaderName,Who is the mayor of Rotterdam?,"""select ?o {<http://dbpedia.org/resource/Rotterdam> <http://dbpedia.org/ontology/leaderName> ?o . }""",
tall, dbo:height,Who is the tallest basketball player?,"""SELECT DISTINCT ?subjOfProp Where {?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . } ORDER BY DESC(?num) LIMIT 1""",
locate, dbp:location,Where is Fort Knox located?,"""select ?o {<http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . }""",
buried, dbo:restingPlace,Where is Syngman Rhee buried?,"""select ?o {<http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?o . }""",
known for, dbo:knownFor,which Scientist is known for Manhattan Project?,"""select ?s {?s <http://dbpedia.org/ontology/knownFor> <http://dbpedia.org/resource/Manhattan_Project> . }""",
book, dbo:series,show me all books in Foundation series,"""select ?s {?s <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Foundation_series> . }""",
young, dbo:birthDate,Who is the youngest Darts player?,"""SELECT DISTINCT ?subjOfProp Where {?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/DartsPlayer> . ?subjOfProp <http://dbpedia.org/ontology/birthDate> ?num . } ORDER BY DESC(?num) LIMIT 1""",
develop, dbo:developer,Who developed World of Warcraft?,"""select ?o {<http://dbpedia.org/resource/World_of_Warcraft> <http://dbpedia.org/ontology/developer> ?o . }""",
found, dbo:foundedBy,Who was the pope that founded Vatican Television Center?,"""select ?o {<http://dbpedia.org/resource/Vatican_Television_Center> <http://dbpedia.org/ontology/foundedBy> ?o . }""",
compose, dbo:musicComposer,Who compose the music for Harold and Maude?,"""select ?o {<http://dbpedia.org/resource/Harold_and_Maude> <http://dbpedia.org/ontology/musicComposer> ?o . }""",
member, dbo:bandMember,Give me all members of Prodigy.,"""select ?o {<http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?o . }""",
speak, dbo:language,How many languages are spoken in Colombia?,"""select (COUNT(DISTINCT ?objOfProp) as ?c) Where {<http://dbpedia.org/resource/Colombia> <http://dbpedia.org/ontology/language> ?objOfProp . }""",
big, dbo:seatingCapacity,What is the biggest stadium in Spain?,"""SELECT DISTINCT ?subjOfProp Where {?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium> . ?subjOfProp <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Spain> . ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?num . } ORDER BY DESC(?num) LIMIT 1""",
die, dbo:deathDate,"When did Diana, Princess of Wales die?","SELECT ?o WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?o . }","_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d . }"""""""
produce, dbo:Sparkling_wine,Where is Sparkling wine produced? ,"""select ?o  {<http://dbpedia.org/resource/Sparkling_wine> <http://dbpedia.org/ontology/wineProduced> ?o . }""",
